ORIGIN,DESTINATION,Lane,Corresponding CPT,Scheduled Truck Arrival - 1 date,Scheduled Truck Arrival - 1 time,Pull time 1,Scheduled Truck Arrival - 2 date,Scheduled Truck Arrival - 2 time,LoadingTime,Equipment Type,Carrier,Canceled Load,Business Types,CPT Date,Origin_band,Destination_band,Origin_Start,Origin_End,Destination_Start,Destination_End
DNE2,NCL1,DNE2->NCL1,3/18/2024 23:59,3/18/2024,0:00,1:30,3/18/2024,2:04,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/18/2024 23:59,3/18/2024,2:30,4:00,3/18/2024,4:34,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/18/2024 23:59,3/18/2024,21:00,22:30,3/18/2024,23:04,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/18/2024 23:59,3/18/2024,21:30,23:00,3/18/2024,23:34,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/19/2024 23:59,3/18/2024,22:30,0:00,3/19/2024,0:34,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/19/2024 23:59,3/19/2024,0:30,2:00,3/19/2024,2:34,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/19/2024 23:59,3/19/2024,2:00,3:30,3/19/2024,4:04,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/19/2024 23:59,3/19/2024,2:30,4:00,3/19/2024,4:34,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/19/2024 23:59,3/19/2024,6:00,7:30,3/19/2024,8:04,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/19/2024 23:59,3/19/2024,19:30,21:00,3/19/2024,21:34,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/20/2024 23:59,3/19/2024,22:30,0:00,3/20/2024,0:34,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/20/2024 23:59,3/20/2024,2:00,3:30,3/20/2024,4:04,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/20/2024 23:59,3/20/2024,22:00,23:30,3/21/2024,0:04,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/21/2024 23:59,3/21/2024,0:30,2:00,3/21/2024,2:34,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/21/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/22/2024 23:59,3/22/2024,0:30,2:00,3/22/2024,2:34,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/22/2024 23:59,3/22/2024,2:30,4:00,3/22/2024,4:34,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/23/2024 23:59,3/23/2024,0:30,2:00,3/23/2024,2:34,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/23/2024 23:59,3/23/2024,2:00,3:30,3/23/2024,4:04,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/23/2024 23:59,3/23/2024,2:30,4:00,3/23/2024,4:34,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/24/2024 23:59,3/24/2024,0:30,2:00,3/24/2024,2:34,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
DNE2,NCL1,DNE2->NCL1,3/24/2024 23:59,3/24/2024,22:00,23:30,3/25/2024,0:04,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/18/2024 23:59,3/18/2024,6:00,7:30,3/18/2024,8:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/18/2024 23:59,3/18/2024,7:00,8:30,3/18/2024,9:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/19/2024 23:59,3/19/2024,7:00,8:30,3/19/2024,9:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/19/2024 23:59,3/19/2024,7:30,9:00,3/19/2024,10:26,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/20/2024 23:59,3/20/2024,6:00,7:30,3/20/2024,8:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/20/2024 23:59,3/20/2024,7:00,8:30,3/20/2024,9:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/20/2024 23:59,3/20/2024,7:30,9:00,3/20/2024,10:26,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DBI7,EMA1,DBI7->EMA1,3/21/2024 23:59,3/21/2024,6:00,7:30,3/21/2024,8:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/21/2024,,,,,,
