,ORIGIN,DESTINATION,Lane,Corresponding CPT,Scheduled Truck Arrival - 1 date,Scheduled Truck Arrival - 1 time,Pull time 1,Scheduled Truck Arrival - 2 date,Scheduled Truck Arrival - 2 time,LoadingTime,Equipment Type,Carrier,Canceled Load,Business Types,CPT Date,Origin_band,Destination_band,Origin_Start,Origin_End,Destination_Start,Destination_End,Day,Day1,minutes
0,DNE2,NCL1,DNE2->NCL1,3/18/2024 23:59,3/18/2024,0:00,1:30,3/18/2024,2:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/18/2024,0:00-9:00,0:00-1:00,0:00,9:00,0:00,1:00,2024-03-18,Mon,0
1,DNE2,NCL1,DNE2->NCL1,3/18/2024 23:59,3/18/2024,2:30,4:00,3/18/2024,4:34,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/18/2024,0:00-9:00,2:00-3:00,0:00,9:00,2:00,3:00,2024-03-18,Mon,150
2,DNE2,NCL1,DNE2->NCL1,3/18/2024 23:59,3/18/2024,21:00,22:30,3/18/2024,23:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/18/2024,,,,,,,2024-03-18,Mon,1260
3,DNE2,NCL1,DNE2->NCL1,3/18/2024 23:59,3/18/2024,21:30,23:00,3/18/2024,23:34,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/18/2024,,,,,,,2024-03-18,Mon,1290
4,DNE2,NCL1,DNE2->NCL1,3/19/2024 23:59,3/18/2024,22:30,0:00,3/19/2024,0:34,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/19/2024,,,,,,,2024-03-18,Mon,1350
5,DNE2,NCL1,DNE2->NCL1,3/19/2024 23:59,3/19/2024,0:30,2:00,3/19/2024,2:34,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/19/2024,0:00-9:00,0:00-1:00,0:00,9:00,0:00,1:00,2024-03-19,Tue,30
6,DNE2,NCL1,DNE2->NCL1,3/19/2024 23:59,3/19/2024,2:00,3:30,3/19/2024,4:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/19/2024,0:00-9:00,2:00-3:00,0:00,9:00,2:00,3:00,2024-03-19,Tue,120
7,DNE2,NCL1,DNE2->NCL1,3/19/2024 23:59,3/19/2024,2:30,4:00,3/19/2024,4:34,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/19/2024,0:00-9:00,2:00-3:00,0:00,9:00,2:00,3:00,2024-03-19,Tue,150
8,DNE2,NCL1,DNE2->NCL1,3/19/2024 23:59,3/19/2024,6:00,7:30,3/19/2024,8:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/19/2024,0:00-9:00,,0:00,9:00,,,2024-03-19,Tue,360
9,DNE2,NCL1,DNE2->NCL1,3/19/2024 23:59,3/19/2024,19:30,21:00,3/19/2024,21:34,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/19/2024,,,,,,,2024-03-19,Tue,1170
10,DNE2,NCL1,DNE2->NCL1,3/20/2024 23:59,3/19/2024,22:30,0:00,3/20/2024,0:34,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,,,,,,,2024-03-19,Tue,1350
11,DNE2,NCL1,DNE2->NCL1,3/20/2024 23:59,3/20/2024,2:00,3:30,3/20/2024,4:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,0:00-9:00,,0:00,9:00,,,2024-03-20,Wed,120
12,DNE2,NCL1,DNE2->NCL1,3/20/2024 23:59,3/20/2024,22:00,23:30,3/21/2024,0:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,,,,,,,2024-03-20,Wed,1320
13,DNE2,NCL1,DNE2->NCL1,3/21/2024 23:59,3/21/2024,0:30,2:00,3/21/2024,2:34,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/21/2024,0:00-9:00,0:00-1:00,0:00,9:00,0:00,1:00,2024-03-21,Thu,30
14,DNE2,NCL1,DNE2->NCL1,3/22/2024 23:59,3/22/2024,0:30,2:00,3/22/2024,2:34,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/22/2024,0:00-9:00,,0:00,9:00,,,2024-03-22,Fri,30
15,DNE2,NCL1,DNE2->NCL1,3/22/2024 23:59,3/22/2024,2:30,4:00,3/22/2024,4:34,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/22/2024,0:00-9:00,,0:00,9:00,,,2024-03-22,Fri,150
16,DNE2,NCL1,DNE2->NCL1,3/23/2024 23:59,3/23/2024,0:30,2:00,3/23/2024,2:34,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/23/2024,0:00-9:00,0:00-1:00,0:00,9:00,0:00,1:00,2024-03-23,Sat,30
17,DNE2,NCL1,DNE2->NCL1,3/23/2024 23:59,3/23/2024,2:00,3:30,3/23/2024,4:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/23/2024,0:00-9:00,2:00-3:00,0:00,9:00,2:00,3:00,2024-03-23,Sat,120
18,DNE2,NCL1,DNE2->NCL1,3/23/2024 23:59,3/23/2024,2:30,4:00,3/23/2024,4:34,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/23/2024,0:00-9:00,2:00-3:00,0:00,9:00,2:00,3:00,2024-03-23,Sat,150
19,DNE2,NCL1,DNE2->NCL1,3/24/2024 23:59,3/24/2024,0:30,2:00,3/24/2024,2:34,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/24/2024,0:00-9:00,0:00-1:00,0:00,9:00,0:00,1:00,2024-03-24,Sun,30
20,DNE2,NCL1,DNE2->NCL1,3/24/2024 23:59,3/24/2024,22:00,23:30,3/25/2024,0:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/24/2024,,,,,,,2024-03-24,Sun,1320
21,DBI7,EMA1,DBI7->EMA1,3/18/2024 23:59,3/18/2024,6:00,7:30,3/18/2024,8:56,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/18/2024,6:00-8:00,,6:00,8:00,,,2024-03-18,Mon,360
22,DBI7,EMA1,DBI7->EMA1,3/18/2024 23:59,3/18/2024,7:00,8:30,3/18/2024,9:56,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/18/2024,6:00-8:00,,6:00,8:00,,,2024-03-18,Mon,420
23,DBI7,EMA1,DBI7->EMA1,3/19/2024 23:59,3/19/2024,7:00,8:30,3/19/2024,9:56,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/19/2024,6:00-8:00,,6:00,8:00,,,2024-03-19,Tue,420
24,DBI7,EMA1,DBI7->EMA1,3/19/2024 23:59,3/19/2024,7:30,9:00,3/19/2024,10:26,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/19/2024,6:00-8:00,,6:00,8:00,,,2024-03-19,Tue,450
25,DBI7,EMA1,DBI7->EMA1,3/20/2024 23:59,3/20/2024,6:00,7:30,3/20/2024,8:56,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,6:00-8:00,,6:00,8:00,,,2024-03-20,Wed,360
26,DBI7,EMA1,DBI7->EMA1,3/20/2024 23:59,3/20/2024,7:00,8:30,3/20/2024,9:56,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,6:00-8:00,,6:00,8:00,,,2024-03-20,Wed,420
27,DBI7,EMA1,DBI7->EMA1,3/20/2024 23:59,3/20/2024,7:30,9:00,3/20/2024,10:26,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,6:00-8:00,,6:00,8:00,,,2024-03-20,Wed,450
28,DBI7,EMA1,DBI7->EMA1,3/21/2024 23:59,3/21/2024,6:00,7:30,3/21/2024,8:56,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/21/2024,6:00-8:00,,6:00,8:00,,,2024-03-21,Thu,360
29,DBI7,EMA1,DBI7->EMA1,3/21/2024 23:59,3/21/2024,7:00,8:30,3/21/2024,9:56,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/21/2024,6:00-8:00,,6:00,8:00,,,2024-03-21,Thu,420
30,DBI7,EMA1,DBI7->EMA1,3/21/2024 23:59,3/21/2024,7:30,9:00,3/21/2024,10:26,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/21/2024,6:00-8:00,,6:00,8:00,,,2024-03-21,Thu,450
31,DBI7,EMA1,DBI7->EMA1,3/22/2024 23:59,3/22/2024,6:00,7:30,3/22/2024,8:56,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/22/2024,6:00-8:00,,6:00,8:00,,,2024-03-22,Fri,360
32,DBI7,EMA1,DBI7->EMA1,3/22/2024 23:59,3/22/2024,7:00,8:30,3/22/2024,9:56,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/22/2024,6:00-8:00,,6:00,8:00,,,2024-03-22,Fri,420
33,DBI7,EMA1,DBI7->EMA1,3/22/2024 23:59,3/22/2024,7:30,9:00,3/22/2024,10:26,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/22/2024,6:00-8:00,,6:00,8:00,,,2024-03-22,Fri,450
34,DBI7,EMA1,DBI7->EMA1,3/23/2024 23:59,3/23/2024,6:00,7:30,3/23/2024,8:56,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/23/2024,6:00-8:00,,6:00,8:00,,,2024-03-23,Sat,360
35,DBI7,EMA1,DBI7->EMA1,3/23/2024 23:59,3/23/2024,7:00,8:30,3/23/2024,9:56,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/23/2024,6:00-8:00,,6:00,8:00,,,2024-03-23,Sat,420
36,DBI7,EMA1,DBI7->EMA1,3/23/2024 23:59,3/23/2024,7:30,9:00,3/23/2024,10:26,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/23/2024,6:00-8:00,,6:00,8:00,,,2024-03-23,Sat,450
37,DBI7,EMA1,DBI7->EMA1,3/24/2024 23:59,3/24/2024,6:00,7:30,3/24/2024,8:56,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/24/2024,6:00-8:00,,6:00,8:00,,,2024-03-24,Sun,360
38,DBI7,EMA1,DBI7->EMA1,3/24/2024 23:59,3/24/2024,7:00,8:30,3/24/2024,9:56,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/24/2024,6:00-8:00,,6:00,8:00,,,2024-03-24,Sun,420
