Site_id,Day,Start,End
BHX2,Sun,0:00,6:00
BHX2,Sun,8:00,18:00
BHX2,Sun,19:00,0:00
BHX2,Mon,0:00,6:00
BHX2,Mon,8:00,18:00
BHX2,Mon,19:00,0:00
BHX2,Tue,0:00,6:00
BHX2,Tue,8:00,18:00
BHX2,Tue,19:00,0:00
BHX2,Wed,0:00,6:00
BHX2,Wed,8:00,18:00
BHX2,Wed,19:00,0:00
BHX2,Thu,0:00,6:00
BHX2,Thu,8:00,18:00
BHX2,Thu,19:00,0:00
BHX2,Fri,0:00,6:00
BHX2,Fri,8:00,18:00
BHX2,Fri,19:00,0:00
BHX2,Sat,0:00,6:00
BHX2,Sat,8:00,18:00
BHX2,Sat,19:00,0:00
BHX3,Sun,0:00,6:00
BHX3,Sun,8:00,0:00
BHX3,Mon,0:00,6:00
BHX3,Mon,8:00,0:00
BHX3,Tue,0:00,6:00
BHX3,Tue,8:00,0:00
BHX3,Wed,0:00,6:00
BHX3,Wed,8:00,0:00
BHX3,Thu,0:00,6:00
BHX3,Thu,8:00,0:00
BHX3,Fri,0:00,6:00
BHX3,Fri,8:00,0:00
BHX3,Sat,0:00,6:00
BHX3,Sat,8:00,0:00
BHX5,Sun,0:00,0:00
BHX5,Mon,0:00,0:00
BHX5,Tue,0:00,0:00
BHX5,Wed,0:00,0:00
BHX5,Thu,0:00,0:00
BHX5,Fri,0:00,0:00
BHX5,Sat,0:00,0:00
BHX7,Sun,0:00,5:00
BHX7,Sun,7:30,18:00
BHX7,Sun,19:15,0:00
BHX7,Mon,0:00,5:00
BHX7,Mon,7:30,18:00
BHX7,Mon,19:15,0:00
BHX7,Tue,0:00,5:00
BHX7,Tue,7:30,18:00
BHX7,Tue,19:15,0:00
BHX7,Wed,0:00,5:00
BHX7,Wed,7:30,18:00
BHX7,Wed,19:15,0:00
BHX7,Thu,0:00,5:00
BHX7,Thu,7:30,18:00
BHX7,Thu,19:15,0:00
BHX7,Fri,0:00,5:00
BHX7,Fri,7:30,18:00
BHX7,Fri,19:15,0:00
BHX7,Sat,0:00,5:00
BHX7,Sat,7:30,18:00
BHX7,Sat,19:15,0:00
BHX8,Sun,17:00,0:00
BHX8,Sun,0:00,5:00
BHX8,Mon,17:00,0:00
BHX8,Mon,0:00,5:00
BHX8,Tue,17:00,0:00
BHX8,Tue,0:00,5:00
BHX8,Wed,17:00,0:00
BHX8,Wed,0:00,5:00
BHX8,Thu,17:00,0:00
BHX8,Thu,0:00,5:00
BHX8,Fri,17:00,0:00
BHX8,Fri,0:00,5:00
BHX8,Sat,17:00,0:00
BHX8,Sat,0:00,5:00
BRS1,Sun,0:00,5:00
BRS1,Sun,7:00,18:00
BRS1,Sun,19:00,0:00
BRS1,Mon,0:00,5:00
BRS1,Mon,7:00,18:00
BRS1,Mon,19:00,0:00
BRS1,Tue,0:00,5:00
BRS1,Tue,7:00,18:00
BRS1,Tue,19:00,0:00
BRS1,Wed,0:00,5:00
BRS1,Wed,7:00,18:00
BRS1,Wed,19:00,0:00
BRS1,Thu,0:00,5:00
BRS1,Thu,7:00,18:00
